genres,reassigned
21,19
21,19
21,19
10,9
21,19
17,15
17,15
17,15
17,15
4,3
4,3
4,3
4,3
1,0
1,0
1,0
25,21
25,21
26,22
26,22
26,22
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
25,21
25,21
25,21
25,21
25,21
25,21
25,21
25,21
25,21
25,21
25,21
27,23
27,23
27,23
27,23
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
10,9
25,21
25,21
4,3
4,3
12,11
12,11
12,11
12,11
31,25
31,25
31,25
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
15,14
15,14
15,14
15,14
12,11
12,11
12,11
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
36,28
36,28
27,23
27,23
27,23
27,23
27,23
27,23
27,23
27,23
27,23
27,23
27,23
27,23
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
15,14
15,14
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
15,14
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
25,21
25,21
12,11
12,11
12,11
12,11
25,21
25,21
21,19
21,19
21,19
21,19
1,0
1,0
1,0
37,29
37,29
37,29
37,29
17,15
17,15
17,15
17,15
12,11
12,11
12,11
12,11
12,11
17,15
17,15
17,15
17,15
41,31
41,31
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
12,11
12,11
12,11
1,0
1,0
1,0
43,33
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
79,49
79,49
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
21,19
12,11
12,11
12,11
12,11
21,19
21,19
45,34
45,34
45,34
45,34
45,34
45,34
45,34
45,34
46,35
46,35
46,35
46,35
46,35
46,35
25,21
25,21
25,21
17,15
17,15
17,15
17,15
17,15
12,11
12,11
12,11
12,11
12,11
32,26
32,26
32,26
32,26
32,26
32,26
32,26
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
11,10
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
38,30
38,30
38,30
25,21
25,21
25,21
25,21
25,21
17,15
1,0
1,0
1,0
1,0
1,0
1,0
10,9
10,9
10,9
37,29
37,29
37,29
37,29
37,29
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
10,9
12,11
12,11
12,11
2,1
32,26
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
47,36
47,36
47,36
47,36
47,36
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
49,37
49,37
49,37
49,37
49,37
49,37
32,26
32,26
32,26
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
138,72
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
12,11
12,11
12,11
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
12,11
12,11
12,11
31,25
31,25
31,25
31,25
31,25
32,26
4,3
4,3
4,3
4,3
53,38
53,38
53,38
12,11
12,11
12,11
53,38
53,38
53,38
53,38
138,72
1,0
1,0
1,0
1,0
53,38
53,38
58,39
3,2
3,2
3,2
3,2
3,2
3,2
3,2
12,11
12,11
10,9
12,11
4,3
4,3
4,3
4,3
4,3
4,3
4,3
22,20
22,20
22,20
22,20
22,20
22,20
22,20
22,20
22,20
22,20
12,11
12,11
12,11
12,11
12,11
2,1
1,0
15,14
15,14
15,14
12,11
15,14
15,14
15,14
15,14
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
12,11
12,11
12,11
12,11
12,11
47,36
47,36
47,36
12,11
12,11
12,11
12,11
15,14
15,14
15,14
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
37,29
37,29
37,29
37,29
37,29
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
17,15
17,15
17,15
17,15
17,15
17,15
17,15
12,11
12,11
12,11
12,11
30,24
30,24
30,24
30,24
30,24
30,24
30,24
30,24
15,14
15,14
15,14
15,14
12,11
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
32,26
25,21
25,21
25,21
25,21
25,21
25,21
22,20
22,20
22,20
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
15,14
103,63
15,14
15,14
15,14
15,14
103,63
15,14
15,14
103,63
15,14
103,63
15,14
15,14
15,14
103,63
15,14
15,14
15,14
15,14
103,63
15,14
15,14
15,14
103,63
15,14
15,14
103,63
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
103,63
103,63
30,24
30,24
30,24
30,24
32,26
32,26
12,11
1,0
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
64,41
64,41
64,41
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
47,36
47,36
12,11
12,11
66,43
66,43
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
