track_id,genres
2,21
3,21
5,21
10,10
134,21
139,17
140,17
141,17
142,17
144,4
145,4
146,4
147,4
148,1
149,1
150,1
151,25
152,25
153,26
154,26
155,26
156,30
157,30
158,30
159,30
160,30
161,30
162,30
163,30
164,30
165,30
166,30
167,30
168,30
169,25
170,25
171,25
172,25
173,25
174,25
175,25
176,25
177,25
178,25
179,25
181,27
182,27
183,27
184,27
188,17
189,17
190,17
191,17
192,17
193,17
194,17
195,17
196,17
197,17
198,17
199,17
200,17
201,17
202,17
203,17
204,17
205,17
206,17
207,17
208,17
209,17
210,17
211,17
212,17
213,10
226,25
228,25
237,4
238,4
247,12
249,12
252,12
255,12
256,31
257,31
258,31
273,32
274,32
275,32
276,32
277,32
281,32
282,32
284,32
285,32
293,32
294,32
297,32
300,32
303,89
304,89
305,89
306,89
307,89
308,89
309,89
310,89
311,89
312,89
313,89
314,89
315,89
316,89
317,89
318,89
319,89
320,89
321,89
322,89
323,89
324,89
325,89
326,89
327,89
328,89
330,89
331,89
332,89
333,89
334,89
335,89
336,89
337,89
338,89
339,89
340,89
341,89
342,89
343,89
344,89
345,89
346,89
347,89
348,89
349,89
350,89
351,89
352,89
353,89
354,89
355,89
356,89
357,89
358,89
359,89
360,89
361,89
362,89
363,89
364,89
365,89
366,89
367,89
368,89
369,89
370,89
371,89
384,15
385,15
386,15
387,15
393,12
394,12
395,12
396,15
397,15
398,15
399,15
400,15
401,15
402,15
403,15
404,15
405,15
406,15
407,15
408,15
410,15
411,15
412,15
414,15
416,15
417,1
419,1
421,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
458,36
459,36
466,27
471,27
475,27
484,27
487,27
493,27
501,27
506,27
511,27
512,27
515,27
517,27
520,12
521,12
522,12
523,12
524,12
525,12
526,12
527,12
528,12
529,12
530,12
531,12
532,15
533,15
534,17
535,17
536,17
537,17
538,17
539,17
540,17
541,17
542,17
543,17
544,17
545,17
546,17
547,17
548,17
549,17
550,15
562,12
563,12
564,12
565,12
566,12
567,12
568,12
569,12
570,12
571,12
572,12
573,25
574,25
575,12
576,12
577,12
578,12
579,25
580,25
583,21
584,21
585,21
586,21
587,1
588,1
589,1
590,37
591,37
592,37
593,37
601,17
602,17
603,17
604,17
605,12
606,12
607,12
608,12
609,12
610,17
611,17
612,17
614,17
615,41
616,41
617,17
618,17
619,17
620,17
621,17
622,17
623,17
624,17
625,17
626,17
627,17
628,17
629,17
630,17
631,17
633,12
634,12
635,12
637,1
638,1
639,1
640,43
641,15
642,15
643,15
644,15
645,15
646,15
647,15
648,15
649,15
650,15
651,15
652,15
653,15
654,15
655,15
656,15
657,15
658,15
659,15
660,15
661,15
662,15
663,15
664,15
665,15
666,79
667,79
668,21
669,21
670,21
671,21
672,21
673,21
674,21
675,21
676,21
677,21
678,21
679,21
680,21
681,21
682,21
683,21
684,21
685,21
686,21
687,21
688,21
689,21
690,12
691,12
692,12
693,12
694,21
695,21
696,45
697,45
698,45
699,45
700,45
701,45
702,45
703,45
704,46
705,46
706,46
707,46
708,46
709,46
711,25
712,25
713,25
714,17
715,17
716,17
717,17
718,17
719,12
720,12
721,12
722,12
723,12
725,32
726,32
727,32
728,32
729,32
730,32
731,32
734,11
735,11
736,11
737,11
738,11
739,11
740,11
741,11
742,11
743,11
744,11
745,11
747,11
748,11
749,11
750,11
751,11
752,11
753,11
754,11
755,11
756,11
757,11
758,11
759,11
760,11
761,11
762,11
763,11
764,11
765,11
766,11
767,11
768,11
769,11
770,11
771,11
772,11
773,11
774,11
775,11
776,11
777,12
778,12
779,12
780,12
781,12
782,12
783,12
784,12
785,12
786,12
787,12
788,12
789,12
790,12
791,12
792,12
793,12
794,12
795,12
796,12
797,12
798,12
799,38
800,38
801,38
803,25
804,25
805,25
806,25
807,25
814,17
815,1
816,1
817,1
818,1
819,1
820,1
821,10
822,10
823,10
831,37
832,37
833,37
834,37
835,37
836,12
837,12
838,12
839,12
840,12
841,12
842,12
843,12
844,12
845,12
846,12
847,10
850,12
851,12
852,12
853,2
854,32
855,12
856,12
857,12
858,12
859,12
860,12
861,12
862,12
863,12
864,47
866,47
868,47
869,47
870,47
874,15
875,15
876,15
877,15
878,15
879,15
880,15
881,15
882,15
883,15
885,15
886,15
887,15
888,15
889,15
890,49
891,49
892,49
893,49
894,49
895,49
897,32
898,32
899,32
904,138
905,138
906,138
907,138
908,138
909,138
910,138
911,138
912,138
913,138
914,138
915,138
916,138
917,138
918,138
919,138
920,138
921,138
922,138
923,138
924,138
925,138
926,138
927,138
928,138
929,138
930,138
931,138
932,138
933,138
934,138
935,138
936,138
937,138
938,138
939,138
940,138
941,138
942,138
943,138
944,138
945,138
946,138
947,138
948,138
949,138
950,138
951,138
952,138
953,138
954,138
955,138
956,138
957,138
958,138
959,138
960,138
961,138
962,138
963,138
964,138
965,138
966,138
967,138
968,138
969,138
970,138
971,138
972,138
973,138
974,138
975,138
976,138
977,138
978,30
979,30
980,30
981,30
982,30
983,30
984,30
985,30
986,30
987,30
988,30
989,30
990,30
991,12
992,12
993,12
995,32
996,32
997,32
998,32
999,32
1000,32
1001,32
1002,32
1003,32
1004,32
1006,32
1007,12
1009,12
1013,12
1014,31
1015,31
1016,31
1017,31
1018,31
1019,32
1020,4
1021,4
1022,4
1023,4
1024,53
1025,53
1026,53
1027,12
1028,12
1029,12
1030,53
1031,53
1032,53
1033,53
1034,138
1035,1
1036,1
1037,1
1038,1
1039,53
1040,53
1041,58
1042,3
1043,3
1044,3
1045,3
1046,3
1047,3
1048,3
1049,12
1050,12
1051,10
1052,12
